consensus_rank,consensus_score,anomaly_type
1,0.9719027777777776,global_point
2,0.9684722222222222,global_point
3,0.9594236111111111,global_point
4,0.9504861111111111,global_point
5,0.9418472222222222,global_point
6,0.9365138888888889,global_point
7,0.933798611111111,global_point
8,0.9311041666666666,global_point
9,0.9201041666666667,global_point
10,0.9158333333333333,global_point
11,0.9085069444444445,global_point
12,0.9011458333333333,global_point
13,0.8980555555555556,global_point
14,0.8964375,global_point
15,0.8870347222222221,global_point
16,0.885423611111111,global_point
17,0.8837152777777777,global_point
18,0.8830972222222222,global_point
19,0.8820763888888888,global_point
20,0.8743333333333332,global_point
21,0.8716319444444445,global_point
22,0.8670624999999998,global_point
23,0.8653958333333334,global_point
24,0.8645555555555556,global_point
25,0.8622916666666667,global_point
1,0.9962233169129722,contextual_point
2,0.9876847290640394,contextual_point
3,0.9866139846743296,contextual_point
4,0.9804674671592775,contextual_point
5,0.9745929118773946,contextual_point
6,0.9710137862616313,contextual_point
7,0.967280719759168,contextual_point
8,0.9551741242474001,contextual_point
9,0.9542094280240832,contextual_point
10,0.9516625615763548,contextual_point
11,0.9371382389162564,contextual_point
12,0.9351575328407224,contextual_point
13,0.9348257047071703,contextual_point
14,0.9331477490421457,contextual_point
15,0.9223428092501369,contextual_point
16,0.9114258347016968,contextual_point
17,0.9077406609195402,contextual_point
18,0.904033251231527,contextual_point
19,0.8999811850027366,contextual_point
20,0.8973812944718118,contextual_point
21,0.8955853174603174,contextual_point
22,0.8935353379857691,contextual_point
23,0.8918736316365627,contextual_point
24,0.8887118568691844,contextual_point
25,0.8853901546250684,contextual_point
1,0.9737020046524356,subsequence_pattern
2,0.9706543513957306,subsequence_pattern
3,0.9587774698960044,subsequence_pattern
4,0.9523810207991241,subsequence_pattern
5,0.9512357690202518,subsequence_pattern
6,0.947748494800219,subsequence_pattern
7,0.9452014230979748,subsequence_pattern
8,0.9399415024630542,subsequence_pattern
9,0.9364466680350301,subsequence_pattern
10,0.9337335112205802,subsequence_pattern
11,0.9320327038861522,subsequence_pattern
12,0.9303889230979749,subsequence_pattern
13,0.928549192665572,subsequence_pattern
14,0.927319718117132,subsequence_pattern
15,0.9244540229885059,subsequence_pattern
16,0.92236473727422,subsequence_pattern
17,0.9191098453749316,subsequence_pattern
18,0.9176363574165298,subsequence_pattern
19,0.9167622468527641,subsequence_pattern
20,0.914070197044335,subsequence_pattern
21,0.9124137931034482,subsequence_pattern
22,0.9114160851122057,subsequence_pattern
23,0.9102142172961138,subsequence_pattern
24,0.9065277435686918,subsequence_pattern
25,0.9054504310344829,subsequence_pattern
1,0.9858343596059113,multivariate_dependency
2,0.9668438355227148,multivariate_dependency
3,0.9626217159277504,multivariate_dependency
4,0.9546486726874658,multivariate_dependency
5,0.9543974411603723,multivariate_dependency
6,0.9507549603174603,multivariate_dependency
7,0.950633723316913,multivariate_dependency
8,0.948547653256705,multivariate_dependency
9,0.9438994252873563,multivariate_dependency
10,0.9406664956212369,multivariate_dependency
11,0.9372836959496442,multivariate_dependency
12,0.9362079228243022,multivariate_dependency
13,0.9297259510125889,multivariate_dependency
14,0.9279006910235359,multivariate_dependency
15,0.9235424192665572,multivariate_dependency
16,0.9134970922276957,multivariate_dependency
17,0.9124155377668308,multivariate_dependency
18,0.9087602627257799,multivariate_dependency
19,0.9057869800218938,multivariate_dependency
20,0.9055051313628899,multivariate_dependency
21,0.9043258757526,multivariate_dependency
22,0.8984127326217843,multivariate_dependency
23,0.893615729337712,multivariate_dependency
24,0.8884274767378215,multivariate_dependency
25,0.88530223727422,multivariate_dependency
